timestamp,question,model,score,confidence,pages
2026-04-14T17:42:24.788703,translate page 66,,,,
2026-04-14T17:42:28.946524,translate page 66,,,,
2026-04-14T17:42:29.983190,translate page 66,,,,
2026-04-14T17:43:14.185832,translate page 40,,,,
2026-04-14T17:43:15.037476,translate page 40,,,,
2026-04-14T17:43:15.796173,translate page 40,,,,
2026-04-14T17:43:19.163930,translate page 40,,,,
2026-04-14T17:43:20.560288,translate page 40,,,,
2026-04-14T17:47:19.464493,translate page 40,,,,
2026-04-14T19:08:13.301158,What is this document about?,llama3,73,100,"[133, 134, 134, 134, 134]"
2026-04-14T19:23:38.197520,What is this document about?,,,,
2026-04-14T19:23:49.329816,What is this document about?,,,,
2026-04-14T19:27:42.328560,What is this document about?,,,,
2026-04-14T19:33:00.909524,What is this document about?,,,,
2026-04-14T19:38:29.197694,What is this document about?,,,,
2026-04-14T19:42:26.307168,What is this document about?,,,,
2026-04-14T19:51:03.386397,What is this document about?,,,,
2026-04-14T19:53:15.126133,What is this document about?,,,,
2026-04-15T21:21:33.830131,What is this document about?,,42.99,100,2533,5
2026-04-15T21:41:51.262123,What is this document about?,mistral,254.68,41,1504,3
2026-04-15T21:53:21.214829,translate page 70,mistral,25.11,90,184,3
2026-04-15T21:56:32.540426,what is Personal Data Protection Law,llama3,11.48,0,1504,3
2026-04-15T22:08:58.305630,What is Personal Data Protection Law?,mistral,18.49,48,1504,3
2026-04-15T22:19:35.369181,What is Personal Data Protection Law?,extraction,4.57,0,1504,3
